637,1446,113
1446,637,113
594,637,77
637,594,77
219,2306,68
2306,219,68
219,219,42
219,637,38
637,219,38
637,637,32
594,1446,28
1446,594,28
637,1338,27
1338,637,27
1856,2034,26
2034,1856,26
31,586,25
31,2408,25
344,586,25
344,1397,25
344,1697,25
586,31,25
586,344,25
586,1397,25
586,2408,25
1397,344,25
1397,586,25
1397,1697,25
1397,2408,25
1697,344,25
1697,1397,25
2408,31,25
2408,586,25
2408,1397,25
637,1882,19
1882,637,19
637,1575,18
637,1584,18
1575,637,18
1584,637,18
121,387,17
344,637,17
387,121,17
637,344,17
221,1157,15
1157,221,15
1338,1446,15
1446,1338,15
637,665,14
665,637,14
121,1697,12
219,1697,12
221,637,12
221,1135,12
344,387,12
387,344,12
387,1697,12
563,1569,12
637,221,12
637,1697,12
637,1848,12
637,1869,12
1135,221,12
1569,563,12
1697,121,12
1697,219,12
1697,387,12
1697,637,12
1848,637,12
1869,637,12
1,637,11
637,1,11
637,850,11
637,1439,11
637,1641,11
637,2061,11
637,2275,11
850,637,11
1439,637,11
1446,1856,11
1641,637,11
1856,1446,11
2061,637,11
2275,637,11
351,1584,10
495,637,10
637,495,10
637,1084,10
637,1821,10
1084,637,10
1584,351,10
1641,2275,10
1821,637,10
2275,1641,10
219,1439,9
344,1439,9
637,1484,9
1293,2083,9
1439,219,9
1439,344,9
1484,637,9
1569,1863,9
1575,1584,9
1584,1575,9
1863,1569,9
2083,1293,9
178,637,8
201,637,8
219,1338,8
221,495,8
495,221,8
495,1528,8
563,1863,8
594,1856,8
594,1869,8
594,2034,8
637,178,8
637,201,8
637,1244,8
1157,1157,8
1244,637,8
1338,219,8
1528,495,8
1584,1584,8
1584,1790,8
1584,1882,8
1790,1584,8
1856,594,8
1863,563,8
1869,594,8
1882,1584,8
2034,594,8
219,344,7
219,1435,7
221,1269,7
221,1882,7
233,1672,7
249,2083,7
344,219,7
615,761,7
637,689,7
637,2080,7
637,2211,7
637,2213,7
665,1446,7
689,637,7
761,615,7
946,1584,7
1269,221,7
1435,219,7
1435,2306,7
1446,665,7
1446,2034,7
1575,2080,7
1584,946,7
1584,2061,7
1672,233,7
1882,221,7
2034,1446,7
2061,1584,7
2080,637,7
2080,1575,7
2083,249,7
2211,637,7
2213,637,7
2306,1435,7
113,637,6
219,1622,6
433,637,6
495,1166,6
495,1584,6
594,1882,6
619,1446,6
637,113,6
637,433,6
637,1135,6
637,1580,6
637,1622,6
637,1809,6
637,1902,6
637,2094,6
710,1569,6
813,1388,6
850,1446,6
919,1035,6
919,1388,6
1035,919,6
1135,637,6
1166,495,6
1388,813,6
1388,919,6
1446,619,6
1446,850,6
1569,710,6
1580,637,6
1584,495,6
1622,219,6
1622,637,6
1809,637,6
1882,594,6
1902,637,6
2094,637,6
1,201,5
1,1446,5
18,637,5
120,637,5
139,637,5
201,1,5
206,563,5
206,637,5
206,1293,5
206,1569,5
206,1863,5
219,310,5
219,525,5
219,1084,5
219,1584,5
219,1821,5
249,1293,5
310,219,5
310,525,5
344,1456,5
495,564,5
495,594,5
495,1863,5
495,1882,5
497,637,5
525,219,5
525,310,5
563,206,5
564,495,5
594,495,5
619,637,5
637,18,5
637,120,5
637,139,5
637,206,5
637,497,5
637,619,5
637,818,5
637,1060,5
637,1691,5
637,2229,5
637,2316,5
689,1697,5
714,1584,5
814,1232,5
818,637,5
818,1584,5
1060,637,5
1084,219,5
1084,1584,5
1084,2061,5
1157,1569,5
1232,814,5
1244,1882,5
1293,206,5
1293,249,5
1446,1,5
1456,344,5
1569,206,5
1569,1157,5
1569,1650,5
1584,219,5
1584,714,5
1584,818,5
1584,1084,5
1650,1569,5
1691,637,5
1697,689,5
1714,1882,5
1821,219,5
1863,206,5
1863,495,5
1882,495,5
1882,1244,5
1882,1714,5
2061,1084,5
2229,637,5
2316,637,5
9,9,4
21,1809,4
85,2061,4
89,1821,4
99,637,4
113,1622,4
115,219,4
120,219,4
120,594,4
139,619,4
178,729,4
201,1180,4
206,2083,4
219,115,4
219,120,4
219,221,4
219,273,4
219,914,4
219,1456,4
221,219,4
221,344,4
221,1584,4
242,1584,4
273,219,4
344,221,4
351,495,4
351,2211,4
433,2080,4
495,351,4
495,1353,4
495,1391,4
495,1446,4
495,2061,4
563,710,4
587,1180,4
594,120,4
594,619,4
594,689,4
594,1338,4
594,1584,4
594,1917,4
602,637,4
615,637,4
615,818,4
619,139,4
619,594,4
619,1584,4
633,637,4
637,99,4
637,602,4
